Asset,Shock_Type,Total_Share
R_1,Monetary Policy,9.654230876459401
R_1,Preferences,3.7566262157785744
R_1,Supply,86.58914290776204
R_2,Monetary Policy,0.002644321652472049
R_2,Preferences,4.157944433857684
R_2,Supply,95.83941124448985
R_3,Monetary Policy,82.47244836611031
R_3,Preferences,5.794201822331333
R_3,Supply,11.73334981155835
R_4,Monetary Policy,5.772503834907844
R_4,Preferences,13.285226203296677
R_4,Supply,80.94226996179547
R_5,Monetary Policy,5.772503834907853
R_5,Preferences,13.28522620329666
R_5,Supply,80.94226996179552
